device,device_id,site_id,time,pm2_5_value,pm2_5_calibratedValue,pm10_value,pm10_calibratedValue,frequency,no2_value,no2_calibratedValue,deviceDetails__id,deviceDetails_mobility,deviceDetails_device_codes_0,deviceDetails_device_codes_1,deviceDetails_device_codes_2,deviceDetails_status,deviceDetails_isPrimaryInLocation,deviceDetails_category,deviceDetails_network,deviceDetails_name,deviceDetails___v,deviceDetails_alias,deviceDetails_approximate_distance_in_km,deviceDetails_bearing_in_radians,deviceDetails_latitude,deviceDetails_longitude
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T17:00:00.000Z,17.315400000000064,17.315400000000064,15.833796652788529,15.833796652788529,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T16:00:00.000Z,18.616800000000097,18.616800000000097,14.18477108216926,14.18477108216926,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T15:00:00.000Z,18.057400000000055,18.057400000000055,19.59698590561854,19.59698590561854,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T13:00:00.000Z,18.23820000000006,18.23820000000006,17.814954381774342,17.814954381774342,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T12:00:00.000Z,18.045200000000047,18.045200000000047,18.2589476879495,18.2589476879495,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T11:00:00.000Z,18.418200000000084,18.418200000000084,18.233554407592067,18.233554407592067,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T10:00:00.000Z,17.286200000000058,17.286200000000058,15.385489279928294,15.385489279928294,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-20T09:00:00.000Z,15.666100000000036,15.666100000000036,11.982310885756126,11.982310885756126,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T20:00:00.000Z,10.80650000000004,10.80650000000004,6.599608148423583,6.599608148423583,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T19:00:00.000Z,14.560400000000064,14.560400000000064,5.510677463834586,5.510677463834586,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T18:00:00.000Z,13.800300000000092,13.800300000000092,6.368905189361711,6.368905189361711,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T17:00:00.000Z,14.385200000000085,14.385200000000085,8.399068655697057,8.399068655697057,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T16:00:00.000Z,14.81330000000009,14.81330000000009,10.267958688965477,10.267958688965477,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T15:00:00.000Z,13.805400000000084,13.805400000000084,10.583348679140112,10.583348679140112,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T14:00:00.000Z,14.490700000000077,14.490700000000077,14.210733379878477,14.210733379878477,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T12:00:00.000Z,17.710500000000057,17.710500000000057,17.661498687431212,17.661498687431212,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T11:00:00.000Z,17.64380000000004,17.64380000000004,17.22520951911067,17.22520951911067,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T10:00:00.000Z,13.837000000000028,13.837000000000028,11.664483419032988,11.664483419032988,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T09:00:00.000Z,15.697900000000068,15.697900000000068,13.083437676537276,13.083437676537276,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T08:00:00.000Z,15.189799999999972,15.189799999999972,18.164905547857227,18.164905547857227,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-19T07:00:00.000Z,14.335800000000036,14.335800000000036,8.755808166712878,8.755808166712878,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
